	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0070271	84	3	1	1	0.931344643391742
GO:1901796	162	41	6.15419138365397e-08	1.54255218410864e-07	0.479745236553836
GO:0008306	70	20	2.53900076832316e-05	7.18571849625412e-05	0.56559091597993
GO:0035821	103	52	3.56886859887338e-24	1.75829421593337e-23	0.0940846102169541
GO:0008203	110	18	0.0405644880284357	0.0684861221000116	0.993593399345419
GO:0008202	227	29	0.159007554976491	0.213523009926269	0.998059145073079
GO:0060828	237	69	1.07970578913922e-15	3.11692859342672e-15	0.320960602088537
GO:0008213	120	13	0.542699861867378	0.669982534205349	0.629281232488944
GO:0008217	143	59	1.09518954333018e-21	4.44604005898944e-21	0.0249371291197449
GO:0008277	117	28	2.41061685482031e-05	5.76352278936766e-05	0.732824737093535
GO:0033209	118	29	1.01126792633293e-05	2.47764859550607e-05	0.463012204325429
GO:0008286	79	11	0.227367795729006	0.342052970631442	0.888677607156896
GO:0033238	76	21	2.75380637362241e-05	7.53273889119266e-05	0.0841143208684334
GO:0070228	53	28	3.26158373642229e-14	1.68322981930478e-13	0.105181435084476
GO:0045216	160	37	2.84518003326859e-06	6.56870750262405e-06	0.24385195343168
GO:0033273	82	33	2.58659121901459e-12	1.02059835421246e-11	0.342917301362536
GO:0045807	108	49	2.62211558652438e-20	1.16496294612556e-19	0.0473390929133813
GO:0045814	81	10	0.382158568434672	0.527429309456086	0.410973743640938
GO:0045815	55	9	0.134605407210851	0.233374282948624	0.636060677130022
GO:0006213	51	7	0.325374525610141	0.494658748980464	0.840710262559452
GO:0045834	124	59	1.49246249786203e-25	6.94851961868124e-25	0.166605938716684
GO:0045833	77	37	1.24085413637991e-16	5.77728483152259e-16	0.0159563277997298
GO:0018208	64	4	0.988029057464097	1	0.993593399345419
GO:0018209	178	48	4.72556794076389e-10	1.26708675113461e-09	0.0391110245554986
GO:0018210	73	27	2.36002218731162e-09	8.59125000672407e-09	0.0307470073696502
GO:0018212	186	54	1.6972756384111e-12	4.84932167017927e-12	0.269252641783925
